"","protein_external_id","preferred_name","protein_size","annotation","refseq_peptide","GeneID","UniqueNAME"
"13593","9606.ENSP00000377007","CENPN",353,"Centromere protein N; Component of the CENPA-NAC (nucleosome-associated) complex, a complex that plays a central role in assembly of kinetochore proteins, mitotic progression and chromosome segregation. The CENPA-NAC complex recruits the CENPA-CAD (nucleosome distal) complex and may be involved in incorporation of newly synthesized CENPA into centromeres. CENPN is the first protein to bind specifically to CENPA nucleosomes and the direct binding of CENPA nucleosomes by CENPN is required for centromere assembly. Required for chromosome congression and efficiently align the chromosomes o [...] ","ENSP00000377007","KH2013:KH.C1.1144","CENPN"
"10425","9606.ENSP00000356814","DCAF6",951,"DDB1- and CUL4-associated factor 6; Ligand-dependent coactivator of nuclear receptors. Enhance transcriptional activity of the nuclear receptors NR3C1 and AR. May function as a substrate receptor for CUL4-DDB1 E3 ubiquitin-protein ligase complex","ENSP00000356814","KH2013:KH.C1.48","DCAF6/8"
"8890","9606.ENSP00000344503","TMEM201",666,"Transmembrane protein 201; Involved in nuclear movement during fibroblast polarization and migration. Proposed to be involved in actin- dependent nuclear movement via association with transmembrane actin-associated nuclear (TAN) lines which are bound to F-actin cables and couple the nucleus to retrograde actin flow (By similarity). Overexpression can recruit Ran GTPase to the nuclear periphery","ENSP00000344503","KH2013:KH.C1.80","TMEM201"
"5783","9606.ENSP00000307491","WDR48",677,"WD repeat-containing protein 48; Regulator of deubiquitinating complexes. Acts as a strong activator of USP1 and USP46. Enhances the USP1-mediated deubiquitination of FANCD2; USP1 being almost inactive by itself. Also activates deubiquitinating activity of complexes containing USP12. Docks at the distal end of the USP12 fingers domain and induces a cascade of structural changes leading to the activation of the enzyme. Activates deubiquitination by increasing the catalytic turnover without increasing the affinity of deubiquitinating enzymes for the substrate. In complex with USP12, acts [...] ","ENSP00000307491","KH2013:KH.C1.1160","WDR48"
"12879","9606.ENSP00000369976","EGFL6",554,"Epidermal growth factor-like protein 6; May bind integrin alpha-8/beta-1 and play a role in hair follicle morphogenesis. Promotes matrix assembly (By similarity); Belongs to the nephronectin family","ENSP00000369976","KH2013:KH.C1.1165","EGFL6"
"1635","9606.ENSP00000251527","ESYT2",893,"Extended synaptotagmin-2; Tethers the endoplasmic reticulum to the cell membrane and promotes the formation of appositions between the endoplasmic reticulum and the cell membrane. Binds glycerophospholipids in a barrel-like domain and may play a role in cellular lipid transport. Plays a role in FGF signaling via its role in the rapid internalization of FGFR1 that has been activated by FGF1 binding; this occurs most likely via the AP-2 complex; Extended synaptotagmins","ENSP00000251527","KH2013:KH.C1.1065","ESYT1/2/3"
"3201","9606.ENSP00000267113","ESYT1",1114,"Extended synaptotagmin-1; Binds glycerophospholipids in a barrel-like domain and may play a role in cellular lipid transport (By similarity). Binds calcium (via the C2 domains) and translocates to sites of contact between the endoplasmic reticulum and the cell membrane in response to increased cytosolic calcium levels. Helps tether the endoplasmic reticulum to the cell membrane and promotes the formation of appositions between the endoplasmic reticulum and the cell membrane; Belongs to the extended synaptotagmin family","ENSP00000267113","KH2013:KH.C1.1065","ESYT1/2/3"
"13319","9606.ENSP00000374218","ESYT3",886,"Extended synaptotagmin-3; Binds glycerophospholipids in a barrel-like domain and may play a role in cellular lipid transport (By similarity). Tethers the endoplasmic reticulum to the cell membrane and promotes the formation of appositions between the endoplasmic reticulum and the cell membrane; Extended synaptotagmins","ENSP00000374218","KH2013:KH.C1.1065","ESYT1/2/3"
"14980","9606.ENSP00000387710","TARS",756,"Threonine--tRNA ligase, cytoplasmic; Aminoacyl tRNA synthetases, Class II","ENSP00000387710","KH2013:KH.C1.1138","TARS"
"2369","9606.ENSP00000261601","USP14",494,"Ubiquitin carboxyl-terminal hydrolase 14; Proteasome-associated deubiquitinase which releases ubiquitin from the proteasome targeted ubiquitinated proteins. Ensures the regeneration of ubiquitin at the proteasome. Is a reversibly associated subunit of the proteasome and a large fraction of proteasome-free protein exists within the cell. Required for the degradation of the chemokine receptor CXCR4 which is critical for CXCL12-induced cell chemotaxis. Serves also as a physiological inhibitor of endoplasmic reticulum-associated degradation (ERAD) under the non-stressed condition by inhibi [...] ","ENSP00000261601","KH2013:KH.C1.399","USP14"
"4747","9606.ENSP00000296490","WDR82",313,"WD repeat-containing protein 82; Regulatory component of the SET1 complex implicated in the tethering of this complex to transcriptional start sites of active genes. Facilitates histone H3 'Lys-4' methylation via recruitment of the SETD1A or SETD1B to the 'Ser-5' phosphorylated C-terminal domain (CTD) of RNA polymerase II large subunit (POLR2A). Component of PTW/PP1 phosphatase complex, which plays a role in the control of chromatin structure and cell cycle progression during the transition from mitosis into interphase; WD repeat domain containing","ENSP00000296490","KH2013:KH.C1.930","WDR82"
"3133","9606.ENSP00000266025","TMEM115",351,"Transmembrane protein 115; May play a role in retrograde transport of proteins from the Golgi to the endoplasmic reticulum. May indirectly play a role in protein glycosylation in the Golgi; Rhomboid family","ENSP00000266025","KH2013:KH.C1.226","TMEM115"
"5026","9606.ENSP00000299432","MSS51",460,"Putative protein MSS51 homolog, mitochondrial; MSS51 mitochondrial translational activator; Zinc fingers MYND-type","ENSP00000299432","KH2013:KH.C1.1082","MSS51"
"10869","9606.ENSP00000358884","CYB561D1",251,"Cytochrome b561 family member D1","ENSP00000358884","KH2013:KH.C1.237","CYB561D1/2"
"15140","9606.ENSP00000391209","CYB561D2",222,"Cytochrome b561 family member D2","ENSP00000391209","KH2013:KH.C1.237","CYB561D1/2"
"2857","9606.ENSP00000264233","POLQ",2590,"DNA polymerase theta; DNA polymerase that promotes microhomology-mediated end- joining (MMEJ), an alternative non-homologous end-joining (NHEJ) machinery triggered in response to double-strand breaks in DNA. MMEJ is an error-prone repair pathway that produces deletions of sequences from the strand being repaired and promotes genomic rearrangements, such as telomere fusions, some of them leading to cellular transformation. POLQ acts as an inhibitor of homology-recombination repair (HR) pathway by limiting RAD51 accumulation at resected ends. POLQ-mediated MMEJ may be required to promote [...] ","ENSP00000264233","KH2013:KH.C1.1219","POLQ"
"1001","9606.ENSP00000231668","BNIP1",271,"BCL2/adenovirus E1B 19kDa interacting protein 1; BCL2 homology region 3 only","ENSP00000231668","KH2013:KH.C1.469","BNIP1"
"4650","9606.ENSP00000295777","SERPINI1",410,"Neuroserpin; Serine protease inhibitor that inhibits plasminogen activators and plasmin but not thrombin. May be involved in the formation or reorganization of synaptic connections as well as for synaptic plasticity in the adult nervous system. May protect neurons from cell damage by tissue-type plasminogen activator (Probable); Serpin peptidase inhibitors","ENSP00000295777","KH2013:KH.C1.489","SERPINI1"
"3138","9606.ENSP00000266066","SFRP5",317,"Secreted frizzled-related protein 5; Soluble frizzled-related proteins (sFRPS) function as modulators of Wnt signaling through direct interaction with Wnts. They have a role in regulating cell growth and differentiation in specific cell types. SFRP5 may be involved in determining the polarity of photoreceptor, and perhaps, other cells in the retina","ENSP00000266066","KH2013:KH.C1.486","SFRP5"
"8920","9606.ENSP00000344831","SLC25A40",338,"Solute carrier family 25 member 40","ENSP00000344831","KH2013:KH.C1.1250","SLC25A39/40"
"12284","9606.ENSP00000366299","SLC25A39",359,"Solute carrier family 25 member 39; Required for normal heme biosynthesis; Belongs to the mitochondrial carrier (TC 2.A.29) family","ENSP00000366299","KH2013:KH.C1.1250","SLC25A39/40"
"9698","9606.ENSP00000352314","KLHL14",628,"Kelch-like protein 14; Kelch like family member 14; BTB domain containing","ENSP00000352314","KH2013:KH.C1.973","KLHL14/31"
"11091","9606.ENSP00000359942","KLHL31",634,"Kelch-like protein 31; Transcriptional repressor in MAPK/JNK signaling pathway to regulate cellular functions. Overexpression inhibits the transcriptional activities of both the TPA-response element (TRE) and serum response element (SRE); BTB domain containing","ENSP00000359942","KH2013:KH.C1.973","KLHL14/31"
"842","9606.ENSP00000227322","ZPR1",459,"Zinc finger protein ZPR1; Acts as a signaling molecule that communicates proliferative growth signals from the cytoplasm to the nucleus. Plays a role for the localization and accumulation of the survival motor neuron protein SMN1 in sub-nuclear bodies, including gems and Cajal bodies. Induces neuron differentiation and stimulates axonal growth and formation of growth cone in spinal cord motor neurons. Plays a role in the splicing of cellular pre-mRNAs. May be involved in H(2)O(2)-induced neuronal cell death; Belongs to the ZPR1 family","ENSP00000227322","KH2013:KH.C1.542","ZPR1"
"3527","9606.ENSP00000273308","CNPY2",182,"Protein canopy homolog 2; Positive regulator of neurite outgrowth by stabilizing myosin regulatory light chain (MRLC). It prevents MIR-mediated MRLC ubiquitination and its subsequent proteasomal degradation; Belongs to the canopy family","ENSP00000273308","KH2013:KH.C1.827","CNPY1/2"
"6587","9606.ENSP00000317439","CNPY1",92,"Canopy FGF signaling regulator 1; Belongs to the canopy family","ENSP00000317439","KH2013:KH.C1.827","CNPY1/2"
"10342","9606.ENSP00000356416","TROVE2",538,"60 kDa SS-A/Ro ribonucleoprotein; RNA-binding protein that binds to misfolded non-coding RNAs, pre-5S rRNA, and several small cytoplasmic RNA molecules known as Y RNAs. May stabilize some of these RNAs and protect them from degradation; Belongs to the Ro 60 kDa family","ENSP00000356416","KH2013:KH.C1.773","TROVE2"
"10417","9606.ENSP00000356785","NME7",376,"Nucleoside diphosphate kinase 7; Major role in the synthesis of nucleoside triphosphates other than ATP. The ATP gamma phosphate is transferred to the NDP beta phosphate via a ping-pong mechanism, using a phosphorylated active-site intermediate; Cilia and flagella associated","ENSP00000356785","KH2013:KH.C1.1248","NME7"
"13598","9606.ENSP00000377036","PPP2R4",323,"Serine/threonine-protein phosphatase 2A activator; PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides. Acts as a regulatory subunit for serine/threonine- protein phosphatase 2A (PP2A) modulating its activity or substrate specificity, probably by inducing a conformational change in the catalytic subunit, a proposed direct target of the PPIase. Can reactivate inactive phosphatase PP2A-phosphatase methylesterase complexes (PP2A(i)) in presence of ATP and Mg(2+) (By similarity). Reversibly stimulates the var [...] ","ENSP00000377036","KH2013:KH.C1.87","PPP2R4"
"2894","9606.ENSP00000264444","MXD1",221,"Max dimerization protein 1; Transcriptional repressor. MAD binds with MAX to form a sequence-specific DNA-binding protein complex which recognizes the core sequence 5'-CAC[GA]TG-3'. MAD thus antagonizes MYC transcriptional activity by competing for MAX; Basic helix-loop-helix proteins","ENSP00000264444","KH2013:KH.C1.661","MXD1/3/4"
"8286","9606.ENSP00000337889","MXD4",209,"Max dimerization protein 4; Transcriptional repressor. Binds with MAX to form a sequence-specific DNA-binding protein complex which recognizes the core sequence 5'-CAC[GA]TG-3'. Antagonizes MYC transcriptional activity by competing for MAX and suppresses MYC dependent cell transformation (By similarity); Basic helix-loop-helix proteins","ENSP00000337889","KH2013:KH.C1.661","MXD1/3/4"
"15658","9606.ENSP00000401867","MXD3",206,"Max dimerization protein 3; Transcriptional repressor. Binds with MAX to form a sequence-specific DNA-binding protein complex which recognizes the core sequence 5'-CAC[GA]TG-3'. Antagonizes MYC transcriptional activity by competing for MAX and suppresses MYC dependent cell transformation (By similarity); Basic helix-loop-helix proteins","ENSP00000401867","KH2013:KH.C1.661","MXD1/3/4"
"9491","9606.ENSP00000350332","MYBPC2",1141,"Myosin-binding protein C, fast-type; Thick filament-associated protein located in the crossbridge region of vertebrate striated muscle a bands. In vitro it binds MHC, F-actin and native thin filaments, and modifies the activity of actin-activated myosin ATPase. It may modulate muscle contraction or may play a more structural role; Fibronectin type III domain containing","ENSP00000350332","KH2013:KH.C1.113","MYBPC1/2/3"
"15605","9606.ENSP00000400908","MYBPC1",1173,"Myosin-binding protein C, slow-type; Thick filament-associated protein located in the crossbridge region of vertebrate striated muscle a bands. In vitro it binds MHC, F-actin and native thin filaments, and modifies the activity of actin-activated myosin ATPase. It may modulate muscle contraction or may play a more structural role; Belongs to the immunoglobulin superfamily. MyBP family","ENSP00000400908","KH2013:KH.C1.113","MYBPC1/2/3"
"17515","9606.ENSP00000442795","MYBPC3",1274,"Myosin-binding protein C, cardiac-type; Thick filament-associated protein located in the crossbridge region of vertebrate striated muscle a bands. In vitro it binds MHC, F-actin and native thin filaments, and modifies the activity of actin-activated myosin ATPase. It may modulate muscle contraction or may play a more structural role; Fibronectin type III domain containing","ENSP00000442795","KH2013:KH.C1.113","MYBPC1/2/3"
"2845","9606.ENSP00000264167","AGPS",658,"Alkyldihydroxyacetonephosphate synthase, peroxisomal; Catalyzes the exchange of an acyl for a long-chain alkyl group and the formation of the ether bond in the biosynthesis of ether phospholipids; Belongs to the FAD-binding oxidoreductase/transferase type 4 family","ENSP00000264167","KH2013:KH.C1.162","AGPS"
"18781","9606.ENSP00000478721","RYK",610,"Tyrosine-protein kinase RYK; May be a coreceptor along with FZD8 of Wnt proteins, such as WNT1, WNT3, WNT3A and WNT5A. Involved in neuron differentiation, axon guidance, corpus callosum establishment and neurite outgrowth. In response to WNT3 stimulation, receptor C- terminal cleavage occurs in its transmembrane region and allows the C-terminal intracellular product to translocate from the cytoplasm to the nucleus where it plays a crucial role in neuronal development; Belongs to the protein kinase superfamily. Tyr protein kinase family","ENSP00000478721","KH2013:KH.C1.149","RYK"
"2311","9606.ENSP00000261313","PEBP1",187,"Phosphatidylethanolamine-binding protein 1; Binds ATP, opioids and phosphatidylethanolamine. Has lower affinity for phosphatidylinositol and phosphatidylcholine. Serine protease inhibitor which inhibits thrombin, neuropsin and chymotrypsin but not trypsin, tissue type plasminogen activator and elastase (By similarity). Inhibits the kinase activity of RAF1 by inhibiting its activation and by dissociating the RAF1/MEK complex and acting as a competitive inhibitor of MEK phosphorylation","ENSP00000261313","KH2013:KH.C1.256","PEBP1"
"4841","9606.ENSP00000297273","CASD1",797,"N-acetylneuraminate 9-O-acetyltransferase; O-acetyltransferase that catalyzes 9-O-acetylation of sialic acids. Sialic acids are sugars at the reducing end of glycoproteins and glycolipids, and are involved in various processes such as cell-cell interactions, host-pathogen recognition","ENSP00000297273","KH2013:KH.C1.548","CASD1"
"3678","9606.ENSP00000276416","BIN3",253,"Bridging integrator 3; Involved in cytokinesis and septation where it has a role in the localization of F-actin; N-BAR domain containing","ENSP00000276416","KH2013:KH.C1.424","BIN3"
"11972","9606.ENSP00000364293","TSR2",191,"Pre-rRNA-processing protein TSR2 homolog; May be involved in 20S pre-rRNA processing","ENSP00000364293","KH2013:KH.C1.911","TSR2"
"1142","9606.ENSP00000237455","RNF103",685,"E3 ubiquitin-protein ligase RNF103; Acts as an E2-dependent E3 ubiquitin-protein ligase, probably involved in the ER-associated protein degradation pathway; Ring finger proteins","ENSP00000237455","KH2013:KH.C1.426","RNF103"
"8427","9606.ENSP00000339613","POFUT2",429,"GDP-fucose protein O-fucosyltransferase 2; Catalyzes the reaction that attaches fucose through an O-glycosidic linkage to a conserved serine or threonine residue in the consensus sequence C1-X(2,3)-S/T-C2-X(2)-G of thrombospondin type 1 repeats where C1 and C2 are the first and second cysteines, respectively. O-fucosylates members of several protein families including the ADAMTS family, the thrombosporin (TSP) and spondin families. The O-fucosylation of TSRs is also required for restricting epithelial to mesenchymal transition (EMT), maintaining the correct patterning of mesoderm and l [...] ","ENSP00000339613","KH2013:KH.C1.1104","POFUT2"
"18197","9606.ENSP00000464327","PTRH2",179,"Peptidyl-tRNA hydrolase 2, mitochondrial; The natural substrate for this enzyme may be peptidyl- tRNAs which drop off the ribosome during protein synthesis; Belongs to the PTH2 family","ENSP00000464327","KH2013:KH.C1.700","PTRH2"
"10657","9606.ENSP00000357823","MRPL9",267,"Mitochondrial ribosomal protein L9","ENSP00000357823","KH2013:KH.C1.843","MRPL9"
"4546","9606.ENSP00000294725","KCNT2",1135,"Potassium channel subfamily T member 2; Outward rectifying potassium channel. Produces rapidly activating outward rectifier K(+) currents. Activated by high intracellular sodium and chloride levels. Channel activity is inhibited by ATP and by inhalation anesthetics, such as isoflurane (By similarity). Inhibited upon stimulation of G-protein coupled receptors, such as CHRM1 and GRIA1; Belongs to the potassium channel family. Calcium- activated (TC 1.A.1.3) subfamily. KCa4.2/KCNT2 sub-subfamily","ENSP00000294725","KH2013:KH.C1.955","KCNT1/2"
"11266","9606.ENSP00000360822","KCNT1",1235,"Potassium channel subfamily T member 1; Outwardly rectifying potassium channel subunit that may coassemble with other Slo-type channel subunits. Activated by high intracellular sodium or chloride levels. Activated upon stimulation of G-protein coupled receptors, such as CHRM1 and GRIA1. May be regulated by calcium in the absence of sodium ions (in vitro) (By similarity); Belongs to the potassium channel family. Calcium- activated (TC 1.A.1.3) subfamily. KCa4.1/KCNT1 sub-subfamily","ENSP00000360822","KH2013:KH.C1.955","KCNT1/2"
"3442","9606.ENSP00000271628","SF3B4",424,"Splicing factor 3B subunit 4; Involved in pre-mRNA splicing as a component of the splicing factor SF3B complex. SF3B complex is required for 'A' complex assembly formed by the stable binding of U2 snRNP to the branchpoint sequence (BPS) in pre-mRNA. Sequence independent binding of SF3A/SF3B complex upstream of the branch site is essential, it may anchor U2 snRNP to the pre-mRNA. May also be involved in the assembly of the 'E' complex. SF3B4 has been found in complex 'B' and 'C' as well. Belongs also to the minor U12-dependent spliceosome, which is involved in the splicing of rare class [...] ","ENSP00000271628","KH2013:KH.C1.567","SF3B4"
"16348","9606.ENSP00000417354","GOLIM4",696,"Golgi integral membrane protein 4; Plays a role in endosome to Golgi protein trafficking; mediates protein transport along the late endosome-bypass pathway from the early endosome to the Golgi","ENSP00000417354","KH2013:KH.C1.865","GOLIM4"
"11684","9606.ENSP00000362727","DENND1A",1009,"DENN domain-containing protein 1A; Guanine nucleotide exchange factor (GEF) regulating clathrin-mediated endocytosis through RAB35 activation. Promotes the exchange of GDP to GTP, converting inactive GDP-bound RAB35 into its active GTP-bound form. Regulates clathrin-mediated endocytosis of synaptic vesicles and mediates exit from early endosomes. Binds phosphatidylinositol-phosphates (PtdInsPs), with some preference for PtdIns(3)P (By similarity); DENN/MADD domain containing","ENSP00000362727","KH2013:KH.C1.620","DENND1A"
"14133","9606.ENSP00000380516","HMBOX1",420,"Homeobox-containing protein 1; Transcription factor. Isoform 1 acts as a transcriptional repressor. Isoform 4 has very low activity as a transcriptional repressor; HNF class homeoboxes","ENSP00000380516","KH2013:KH.C1.941","HMBOX1"
"12101","9606.ENSP00000365042","CSNK2B",215,"Casein kinase II subunit beta; Participates in Wnt signaling (By similarity). Plays a complex role in regulating the basal catalytic activity of the alpha subunit; Belongs to the casein kinase 2 subunit beta family","ENSP00000365042","KH2013:KH.C1.412","CSNK2B"
"1298","9606.ENSP00000243077","LRP1",4544,"Prolow-density lipoprotein receptor-related protein 1; Endocytic receptor involved in endocytosis and in phagocytosis of apoptotic cells. Required for early embryonic development. Involved in cellular lipid homeostasis. Involved in the plasma clearance of chylomicron remnants and activated LRPAP1 (alpha 2-macroglobulin), as well as the local metabolism of complexes between plasminogen activators and their endogenous inhibitors. May modulate cellular events, such as APP metabolism, kinase-dependent intracellular signaling, neuronal calcium signaling as well as neurotransmission. Acts as [...] ","ENSP00000243077","KH2013:KH.C1.1037","LRP1/5"
"4521","9606.ENSP00000294304","LRP5",1615,"Low-density lipoprotein receptor-related protein 5; Component of the Wnt-Fzd-LRP5-LRP6 complex that triggers beta-catenin signaling through inducing aggregation of receptor- ligand complexes into ribosome-sized signalsomes. Cell-surface coreceptor of Wnt/beta-catenin signaling, which plays a pivotal role in bone formation. Plays a role in norrin (NDP) signal transduction. The Wnt-induced Fzd/LRP6 coreceptor complex recruits DVL1 polymers to the plasma membrane which, in turn, recruits the AXIN1/GSK3B-complex to the cell surface promoting the formation of signalsomes and inhibiting AXIN [...] ","ENSP00000294304","KH2013:KH.C1.1037","LRP1/5"
"12866","9606.ENSP00000369897","CARS",831,"Cysteine--tRNA ligase, cytoplasmic; Aminoacyl tRNA synthetases, Class I; Belongs to the class-I aminoacyl-tRNA synthetase family","ENSP00000369897","KH2013:KH.C1.995","CARS"
"5690","9606.ENSP00000306548","MRPL13",178,"Mitochondrial ribosomal protein L13; Belongs to the universal ribosomal protein uL13 family","ENSP00000306548","KH2013:KH.C1.86","MRPL13/23"
"5232","9606.ENSP00000301587","ATP5H",161,"ATP synthase subunit d, mitochondrial; Mitochondrial membrane ATP synthase (F(1)F(0) ATP synthase or Complex V) produces ATP from ADP in the presence of a proton gradient across the membrane which is generated by electron transport complexes of the respiratory chain. F-type ATPases consist of two structural domains, F(1) - containing the extramembraneous catalytic core, and F(0) - containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the cent [...] ","ENSP00000301587","KH2013:KH.C1.534","ATP5H"
"3211","9606.ENSP00000267287","MBNL2",367,"Muscleblind-like protein 2; Mediates pre-mRNA alternative splicing regulation. Acts either as activator or repressor of splicing on specific pre-mRNA targets. Inhibits cardiac troponin-T (TNNT2) pre-mRNA exon inclusion but induces insulin receptor (IR) pre-mRNA exon inclusion in muscle. Antagonizes the alternative splicing activity pattern of CELF proteins. RNA-binding protein that binds to 5'ACACCC-3' core sequence, termed zipcode, within the 3'UTR of ITGA3. Binds to CUG triplet repeat expansion in myotonic dystrophy muscle cells by sequestering the target RNAs. Seems to regulate expr [...] ","ENSP00000267287","KH2013:KH.C1.219","MBNL1/2/3"
"3950","9606.ENSP00000282486","MBNL1",388,"Muscleblind-like protein 1; Mediates pre-mRNA alternative splicing regulation. Acts either as activator or repressor of splicing on specific pre-mRNA targets. Inhibits cardiac troponin-T (TNNT2) pre-mRNA exon inclusion but induces insulin receptor (IR) pre-mRNA exon inclusion in muscle. Antagonizes the alternative splicing activity pattern of CELF proteins. Regulates the TNNT2 exon 5 skipping through competition with U2AF2. Inhibits the formation of the spliceosome A complex on intron 4 of TNNT2 pre-mRNA. Binds to the stem-loop structure within the polypyrimidine tract of TNNT2 intron  [...] ","ENSP00000282486","KH2013:KH.C1.219","MBNL1/2/3"
"11083","9606.ENSP00000359890","MBNL3",354,"Muscleblind-like protein 3; Mediates pre-mRNA alternative splicing regulation. Acts either as activator or repressor of splicing on specific pre-mRNA targets. Inhibits cardiac troponin-T (TNNT2) pre-mRNA exon inclusion but induces insulin receptor (IR) pre-mRNA exon inclusion in muscle. Antagonizes the alternative splicing activity pattern of CELF proteins. May play a role in myotonic dystrophy pathophysiology (DM). Could inhibit terminal muscle differentiation, acting at approximately the time of myogenin induction; Zinc fingers CCCH-type","ENSP00000359890","KH2013:KH.C1.219","MBNL1/2/3"
"1021","9606.ENSP00000232744","ABTB1",478,"Ankyrin repeat and BTB/POZ domain-containing protein 1; May act as a mediator of the PTEN growth-suppressive signaling pathway. May play a role in developmental processes; Ankyrin repeat domain containing","ENSP00000232744","KH2013:KH.C1.751","ABTB1"
"15743","9606.ENSP00000403701","ARRB2",430,"Beta-arrestin-2; Functions in regulating agonist-mediated G-protein coupled receptor (GPCR) signaling by mediating both receptor desensitization and resensitization processes. During homologous desensitization, beta-arrestins bind to the GPRK-phosphorylated receptor and sterically preclude its coupling to the cognate G- protein; the binding appears to require additional receptor determinants exposed only in the active receptor conformation. The beta-arrestins target many receptors for internalization by acting as endocytic adapters (CLASPs, clathrin-associated sorting proteins) and rec [...] ","ENSP00000403701","KH2013:KH.C1.1125","ARRB1/2"
"15978","9606.ENSP00000409581","ARRB1",418,"Beta-arrestin-1; Functions in regulating agonist-mediated G-protein coupled receptor (GPCR) signaling by mediating both receptor desensitization and resensitization processes. During homologous desensitization, beta-arrestins bind to the GPRK-phosphorylated receptor and sterically preclude its coupling to the cognate G- protein; the binding appears to require additional receptor determinants exposed only in the active receptor conformation. The beta-arrestins target many receptors for internalization by acting as endocytic adapters (CLASPs, clathrin-associated sorting proteins) and rec [...] ","ENSP00000409581","KH2013:KH.C1.1125","ARRB1/2"
"1828","9606.ENSP00000254654","ILKAP",392,"Integrin-linked kinase-associated serine/threonine phosphatase 2C; Protein phosphatase that may play a role in regulation of cell cycle progression via dephosphorylation of its substrates whose appropriate phosphorylation states might be crucial for cell proliferation. Selectively associates with integrin linked kinase (ILK), to modulate cell adhesion and growth factor signaling. Inhibits the ILK-GSK3B signaling axis and may play an important role in inhibiting oncogenic transformation; Belongs to the PP2C family","ENSP00000254654","KH2013:KH.C1.218","ILKAP"
"3209","9606.ENSP00000267260","SRRM4",611,"Serine/arginine repetitive matrix protein 4; Splicing factor specifically required for neural cell differentiation. Acts in conjuction with nPTB/PTBP2 by binding directly to its regulated target transcripts and promotes neural- specific exon inclusion in many genes that function in neural cell differentiation. Required to promote the inclusion of neural- specific exon 10 in nPTB/PTBP2, leading to increased expression of neural-specific nPTB/PTBP2. Also promotes the inclusion of exon 16 in DAAM1 in neuron extracts (By similarity)","ENSP00000267260","KH2013:KH.C1.118","SRRM4"
"962","9606.ENSP00000230538","LAMA4",1823,"Laminin subunit alpha-4; Binding to cells via a high affinity receptor, laminin is thought to mediate the attachment, migration and organization of cells into tissues during embryonic development by interacting with other extracellular matrix components","ENSP00000230538","KH2013:KH.C1.67","LAMA4"
"13944","9606.ENSP00000379339","RPS29",67,"Ribosomal protein S29","ENSP00000379339","KH2013:KH.C1.115","RPS29"
"8482","9606.ENSP00000340271","TAF3",929,"Transcription initiation factor TFIID subunit 3; Transcription factor TFIID is one of the general factors required for accurate and regulated initiation by RNA polymerase II. TFIID is a multimeric protein complex that plays a central role in mediating promoter responses to various activators and repressors. Required in complex with TBPL2 for the differentiation of myoblasts into myocytes. The complex replaces TFIID at specific promoters at an early stage in the differentiation process; Armadillo-like helical domain containing","ENSP00000340271","KH2013:KH.C1.267","TAF3"
"16644","9606.ENSP00000421801","HGFAC",662,"Hepatocyte growth factor activator; Activates hepatocyte growth factor (HGF) by converting it from a single chain to a heterodimeric form; Belongs to the peptidase S1 family","ENSP00000421801","KH2013:KH.C1.1252","HGFAC"
"8774","9606.ENSP00000343204","JAK1",1154,"Tyrosine-protein kinase JAK1; Tyrosine kinase of the non-receptor type, involved in the IFN-alpha/beta/gamma signal pathway. Kinase partner for the interleukin (IL)-2 receptor; FERM domain containing","ENSP00000343204","KH2013:KH.C1.555","JAK1/2/3"
"13036","9606.ENSP00000371067","JAK2",1132,"Tyrosine-protein kinase JAK2; Non-receptor tyrosine kinase involved in various processes such as cell growth, development, differentiation or histone modifications. Mediates essential signaling events in both innate and adaptive immunity. In the cytoplasm, plays a pivotal role in signal transduction via its association with type I receptors such as growth hormone (GHR), prolactin (PRLR), leptin (LEPR), erythropoietin (EPOR), thrombopoietin (THPO); or type II receptors including IFN-alpha, IFN-beta, IFN-gamma and multiple interleukins. Following ligand-binding to cell surface receptors, [...] ","ENSP00000371067","KH2013:KH.C1.555","JAK1/2/3"
"15166","9606.ENSP00000391676","JAK3",1124,"Tyrosine-protein kinase JAK3; Non-receptor tyrosine kinase involved in various processes such as cell growth, development, or differentiation. Mediates essential signaling events in both innate and adaptive immunity and plays a crucial role in hematopoiesis during T-cells development. In the cytoplasm, plays a pivotal role in signal transduction via its association with type I receptors sharing the common subunit gamma such as IL2R, IL4R, IL7R, IL9R, IL15R and IL21R. Following ligand binding to cell surface receptors, phosphorylates specific tyrosine residues on the cytoplasmic tails o [...] ","ENSP00000391676","KH2013:KH.C1.555","JAK1/2/3"
"11548","9606.ENSP00000362131","RPA4",261,"Replication protein A 30 kDa subunit; As part of the alternative replication protein A complex, aRPA, binds single-stranded DNA and probably plays a role in DNA repair. Compared to the RPA2-containing, canonical RPA complex, may not support chromosomal DNA replication and cell cycle progression through S-phase. The aRPA may not promote efficient priming by DNA polymerase alpha but could support DNA polymerase delta synthesis in the presence of PCNA and replication factor C (RFC), the dual incision/excision reaction of nucleotide excision repair and RAD51-dependent strand exchange","ENSP00000362131","KH2013:KH.C1.1151","RPA2/4"
