"","refseq_peptide","ensembl_gene_id","ensembl_transcript_id","external_gene_name","refseq_peptide_predicted","protein_external_id","preferred_name","protein_size","annotation"
"726","","ENSCING00000020759","ENSCINT00000032534","","XP_002121391","7719.XP_002121391.1","XP_002121391.1",387,"Uncharacterized protein LOC100183484"
"727","","ENSCING00000002266","ENSCINT00000001459","","XP_002121399","7719.XP_002121399.1","XP_002121399.1",182,"Uncharacterized protein LOC100180197"
"728","","ENSCING00000023100","ENSCINT00000034965","","XP_002121401","7719.XP_002121401.2","XP_002121401.2",181,"Collagen alpha-1(XIV) chain-like"
"729","","ENSCING00000017017","ENSCINT00000029345","","XP_002121408","7719.XP_002121408.2","XP_002121408.2",325,"Receptor-type tyrosine-protein phosphatase F-like"
"730","","ENSCING00000002144","ENSCINT00000004385","","XP_002121410","7719.XP_002121410.3","XP_002121410.3",457,"Y+L amino acid transporter 2-like"
"731","","ENSCING00000006022","ENSCINT00000012445","","XP_002121419","7719.XP_002121419.1","XP_002121419.1",973,"Serine/threonine-protein kinase SIK2 isoform X1; Derived by automated computational analysis using gene prediction method: Gnomon. Supporting evidence includes similarity to: 2 mRNAs, 54 ESTs, and 97% coverage of the annotated genomic feature by RNAseq alignments"
"732","","ENSCING00000023393","ENSCINT00000034600","","XP_002121421","7719.XP_002121421.1","XP_002121421.1",280,"Alpha-tocopherol transfer protein-like"
"733","","ENSCING00000024986","ENSCINT00000037119","","XP_002121423","7719.XP_002121423.2","XP_002121423.2",336,"Uncharacterized protein LOC100180824"
"734","","ENSCING00000015035","ENSCINT00000027159","","XP_002121428","7719.XP_002121428.1","XP_002121428.1",174,"Uncharacterized protein LOC100183103"
"735","","ENSCING00000010660","ENSCINT00000021899","","XP_002121437","7719.XP_002121437.1","XP_002121437.1",411,"Carboxypeptidase B-like"
"736","","ENSCING00000006135","ENSCINT00000012669","","XP_002121442","7719.XP_002121442.1","XP_002121442.1",214,"CDP-diacylglycerol--inositol 3-phosphatidyltransferase isoform X1"
"737","","ENSCING00000014637","ENSCINT00000026608","","XP_002121443","7719.XP_002121443.1","XP_002121443.1",303,"Uncharacterized protein LOC100180631"
"738","","ENSCING00000018906","ENSCINT00000034775","","XP_002121449","7719.XP_002121449.1","XP_002121449.1",185,"Adenine phosphoribosyltransferase-like"
"739","","ENSCING00000022308","ENSCINT00000036163","","XP_002121470","7719.XP_002121470.1","XP_002121470.1",516,"NAD-dependent protein deacetylase sirtuin-7"
"740","","ENSCING00000006932","ENSCINT00000014246","","XP_002121471","7719.XP_002121471.1","XP_002121471.1",440,"alpha-1,2-Mannosidase; Endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase-like; Belongs to the glycosyl hydrolase 47 family"
"741","","ENSCING00000024819","ENSCINT00000030258","","XP_002121474","7719.XP_002121474.1","XP_002121474.1",316,"Protein YIPF3-like isoform X1"
"742","","ENSCING00000000937","ENSCINT00000001694","","XP_002121476","7719.XP_002121476.2","XP_002121476.2",193,"Mitochondrial import inner membrane translocase subunit Tim22-like"
"743","","ENSCING00000012111","ENSCINT00000023050","","XP_002121478","7719.XP_002121478.1","XP_002121478.1",471,"Phospholipase B1, membrane-associated-like"
"744","","ENSCING00000023887","ENSCINT00000030473","","XP_002121490","7719.XP_002121490.1","XP_002121490.1",180,"Peptidyl-prolyl cis-trans isomerase; PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides"
"745","","ENSCING00000007091","ENSCINT00000014598","","XP_002121499","7719.XP_002121499.1","XP_002121499.1",808,"Transitional endoplasmic reticulum ATPase; Belongs to the AAA ATPase family"
"746","","ENSCING00000010123","ENSCINT00000020243","","XP_002121509","7719.XP_002121509.1","XP_002121509.1",287,"Mitochondrial folate transporter/carrier; Derived by automated computational analysis using gene prediction method: Gnomon. Supporting evidence includes similarity to: 1 mRNA, 3 ESTs, 13 Proteins, and 90% coverage of the annotated genomic feature by RNAseq alignments, including 1 sample with support for all annotated introns; Belongs to the mitochondrial carrier (TC 2.A.29) family"
"747","","ENSCING00000011548","ENSCINT00000022257","","XP_002121517","7719.XP_002121517.1","XP_002121517.1",199,"Uncharacterized protein C4orf45"
"748","","ENSCING00000007466","ENSCINT00000015324","","XP_002121521","7719.XP_002121521.1","XP_002121521.1",571,"Uncharacterized protein LOC100182198"
"749","","ENSCING00000006453","ENSCINT00000013278","","XP_002121524","7719.XP_002121524.1","XP_002121524.1",367,"Ankyrin repeat domain-containing protein 60; Derived by automated computational analysis using gene prediction method: Gnomon. Supporting evidence includes similarity to: 1 mRNA, 23 ESTs, and 100% coverage of the annotated genomic feature by RNAseq alignments, including 1 sample with support for all annotated introns"
"750","","ENSCING00000023972","ENSCINT00000034747","","XP_002121530","7719.XP_002121530.1","XP_002121530.1",917,"Uncharacterized protein LOC100183096"
"751","","ENSCING00000020349","ENSCINT00000036910","","XP_002121531","7719.XP_002121531.1","XP_002121531.1",423,"Uncharacterized protein LOC100186047"
"752","","ENSCING00000001505","ENSCINT00000002968","","XP_002121536","7719.XP_002121536.1","fam160b1",741,"Protein FAM160B1"
"753","","ENSCING00000005282","ENSCINT00000010883","","XP_002121570","7719.XP_002121570.1","XP_002121570.1",446,"DDB1- and CUL4-associated factor 13 isoform X1; Derived by automated computational analysis using gene prediction method: Gnomon. Supporting evidence includes similarity to: 1 mRNA, 123 ESTs, 17 Proteins, and 100% coverage of the annotated genomic feature by RNAseq alignments, including 5 samples with support for all annotated introns"
"754","","ENSCING00000002167","ENSCINT00000004434","","XP_002121582","7719.XP_002121582.2","XP_002121582.2",108,"Acylphosphatase; Derived by automated computational analysis using gene prediction method: Gnomon. Supporting evidence includes similarity to: 1 mRNA, 1 EST, 7 Proteins, and 100% coverage of the annotated genomic feature by RNAseq alignments, including 18 samples with support for all annotated introns; Belongs to the acylphosphatase family"
"755","","ENSCING00000014646","ENSCINT00000026619","","XP_002121585","7719.XP_002121585.3","XP_002121585.3",546,"Cytochrome P450 4F4-like"
"756","","ENSCING00000001980","ENSCINT00000003995","","XP_002121594","7719.XP_002121594.1","scfd1",622,"Sec1 family domain-containing protein 1; Belongs to the STXBP/unc-18/SEC1 family"
"757","","ENSCING00000000731","ENSCINT00000001340","","XP_002121597","7719.XP_002121597.1","XP_002121597.1",167,"Uncharacterized protein LOC100177538"
"758","","ENSCING00000017073","ENSCINT00000027462","","XP_002121601","7719.XP_002121601.1","XP_002121601.1",414,"Uncharacterized protein LOC100185370"
"759","","ENSCING00000018305","ENSCINT00000030436","","XP_002121606","7719.XP_002121606.1","XP_002121606.1",167,"MICOS complex subunit; Component of the MICOS complex, a large protein complex of the mitochondrial inner membrane that plays crucial roles in the maintenance of crista junctions, inner membrane architecture, and formation of contact sites to the outer membrane"
"760","","ENSCING00000006981","ENSCINT00000014338","","XP_002121612","7719.XP_002121612.2","XP_002121612.2",202,"Uncharacterized protein LOC100183100"
"761","","ENSCING00000011372","ENSCINT00000001880","","XP_002121621","7719.XP_002121621.1","XP_002121621.1",349,"Trans-1,2-dihydrobenzene-1,2-diol dehydrogenase-like"
"762","","ENSCING00000007429","ENSCINT00000015260","","XP_002121637","7719.XP_002121637.1","XP_002121637.1",183,"Uncharacterized protein LOC100187538; Derived by automated computational analysis using gene prediction method: Gnomon. Supporting evidence includes similarity to: 9 ESTs, and 88% coverage of the annotated genomic feature by RNAseq alignments"
"763","","ENSCING00000006672","ENSCINT00000013692","","XP_002121643","7719.XP_002121643.2","XP_002121643.2",528,"Tubulin polyglutamylase TTLL4-like"
"764","","ENSCING00000002531","ENSCINT00000005159","","XP_002121647","7719.XP_002121647.1","XP_002121647.1",374,"Intelectin-1b-like"
"765","","ENSCING00000008756","ENSCINT00000017839","","XP_002121650","7719.XP_002121650.1","XP_002121650.1",252,"Proteasome subunit alpha type-7"
"766","","ENSCING00000008699","ENSCINT00000017739","","XP_002121651","7719.XP_002121651.1","XP_002121651.1",430,"Uncharacterized protein LOC100185373"
"767","","ENSCING00000006983","ENSCINT00000014340","","XP_002121664","7719.XP_002121664.1","XP_002121664.1",655,"Gamma-tubulin complex component 4-like"
"768","","ENSCING00000000305","ENSCINT00000000567","","XP_002121675","7719.XP_002121675.1","XP_002121675.1",244,"39S ribosomal protein L24, mitochondrial"
"769","","ENSCING00000010852","ENSCINT00000020784","","XP_002121677","7719.XP_002121677.1","XP_002121677.1",289,"Uncharacterized protein LOC100186665"
"770","","ENSCING00000022254","ENSCINT00000033662","","XP_002121678","7719.XP_002121678.1","XP_002121678.1",99,"Small ubiquitin-related modifier 2-like"
"771","","ENSCING00000005543","ENSCINT00000011486","","XP_002121685","7719.XP_002121685.1","XP_002121685.1",248,"Multivesicular body subunit 12B-like"
"772","","ENSCING00000005585","ENSCINT00000011600","","XP_002121686","7719.XP_002121686.1","XP_002121686.1",734,"NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial-like"
"773","","ENSCING00000019162","ENSCINT00000030499","","XP_002121701","7719.XP_002121701.1","XP_002121701.1",683,"Transcriptional repressor p66-beta isoform X1"
"774","","ENSCING00000019585","ENSCINT00000036053","","XP_002121705","7719.XP_002121705.1","XP_002121705.1",152,"Mitochondrial fission 1 protein; Involved in the fragmentation of the mitochondrial network and its perinuclear clustering"
"775","","ENSCING00000001900","ENSCINT00000023837","","XP_002121711","7719.XP_002121711.1","XP_002121711.1",213,"Ras-related protein O-RAL isoform X1"
"776","","ENSCING00000018696","ENSCINT00000031646","","XP_002121714","7719.XP_002121714.1","XP_002121714.1",181,"Uncharacterized protein LOC100184996; Neurensin-1"
"777","","ENSCING00000022166","ENSCINT00000035533","","XP_002121748","7719.XP_002121748.1","XP_002121748.1",124,"UPF0691 protein C9orf116-like"
"778","","ENSCING00000021920","ENSCINT00000035331","","XP_002121749","7719.XP_002121749.1","XP_002121749.1",540,"synembryn-A"
"779","","ENSCING00000008874","ENSCINT00000018064","","XP_002121751","7719.XP_002121751.1","XP_002121751.1",508,"Coatomer subunit delta; The coatomer is a cytosolic protein complex that binds to dilysine motifs and reversibly associates with Golgi non- clathrin-coated vesicles, which further mediate biosynthetic protein transport from the ER, via the Golgi up to the trans Golgi network. Coatomer complex is required for budding from Golgi membranes, and is essential for the retrograde Golgi-to-ER transport of dilysine-tagged proteins"
"780","","ENSCING00000008568","ENSCINT00000017478","","XP_002121756","7719.XP_002121756.1","XP_002121756.1",208,"Pleckstrin homology domain-containing family B member 2 isoform X1"
"781","","ENSCING00000014372","ENSCINT00000026267","","XP_002121757","7719.XP_002121757.1","XP_002121757.1",226,"V-type proton ATPase subunit E-like isoform X1"
"782","","ENSCING00000005391","ENSCINT00000011089","","XP_002121763","7719.XP_002121763.1","XP_002121763.1",193,"Uncharacterized protein LOC100185101"
"783","","ENSCING00000019252","ENSCINT00000036040","","XP_002121771","7719.XP_002121771.1","XP_002121771.1",108,"Cytochrome c oxidase subunit 6A, mitochondrial"
"784","","ENSCING00000002257","ENSCINT00000004616","","XP_002121782","7719.XP_002121782.1","XP_002121782.1",201,"Uncharacterized protein LOC100183891"
"785","","ENSCING00000007064","ENSCINT00000014509","","XP_002121805","7719.XP_002121805.1","XP_002121805.1",607,"ATPase family AAA domain-containing protein 3-like"
"786","","ENSCING00000023459","ENSCINT00000035055","","XP_002121806","7719.XP_002121806.1","XP_002121806.1",230,"Serine/arginine-rich splicing factor 7"
"787","","ENSCING00000000694","ENSCINT00000001268","","XP_002121809","7719.XP_002121809.1","XP_002121809.1",150,"Uncharacterized protein LOC100182600"
"788","","ENSCING00000001600","ENSCINT00000003203","","XP_002121811","7719.XP_002121811.1","XP_002121811.1",419,"Uncharacterized protein LOC100187180"
"789","","ENSCING00000004779","ENSCINT00000009885","","XP_002121812","7719.XP_002121812.1","XP_002121812.1",513,"Cytochrome P450 2C3-like"
"790","","ENSCING00000009875","ENSCINT00000019995","","XP_002121837","7719.XP_002121837.2","XP_002121837.2",380,"Leucine-rich repeat transmembrane neuronal protein 1-like"
"791","","ENSCING00000002325","ENSCINT00000026254","","XP_002121840","7719.XP_002121840.1","XP_002121840.1",344,"Cyclin-dependent kinase 7-like; Belongs to the protein kinase superfamily"
"792","","ENSCING00000010265","ENSCINT00000020435","","XP_002121844","7719.XP_002121844.1","XP_002121844.1",379,"Uncharacterized protein LOC100176565"
"793","","ENSCING00000022094","ENSCINT00000033914","","XP_002121850","7719.XP_002121850.1","XP_002121850.1",422,"Tubulin delta chain; Belongs to the tubulin family"
"794","","ENSCING00000024299","ENSCINT00000012116","","XP_002121857","7719.XP_002121857.1","XP_002121857.1",257,"Uncharacterized protein LOC100185967"
"795","","ENSCING00000021946","ENSCINT00000030230","","XP_002121859","7719.XP_002121859.1","XP_002121859.1",199,"Ras-related protein M-Ras-like; Derived by automated computational analysis using gene prediction method: Gnomon. Supporting evidence includes similarity to: 1 mRNA, 351 ESTs, 36 Proteins, and 99% coverage of the annotated genomic feature by RNAseq alignments, including 8 samples with support for all annotated introns"
"796","","ENSCING00000000703","ENSCINT00000001280","","XP_002121869","7719.XP_002121869.1","XP_002121869.1",150,"Uncharacterized protein LOC100184972"
"797","","ENSCING00000001422","ENSCINT00000002782","","XP_002121873","7719.XP_002121873.1","XP_002121873.1",236,"Caveolin; May act as a scaffolding protein within caveolar membranes. Interacts directly with G-protein alpha subunits and can functionally regulate their activity"
"798","","ENSCING00000008351","ENSCINT00000017032","","XP_002121877","7719.XP_002121877.1","XP_002121877.1",224,"Glutathione S-transferase 1, isoform C"
"799","","ENSCING00000014153","ENSCINT00000025971","","XP_002121879","7719.XP_002121879.1","XP_002121879.1",234,"Regulator of G-protein signaling 16-like"
"800","","ENSCING00000006357","ENSCINT00000013097","","XP_002121886","7719.XP_002121886.1","XP_002121886.1",250,"Protein canopy homolog 3-like"
"801","","ENSCING00000013659","ENSCINT00000025237","","XP_002121888","7719.XP_002121888.1","XP_002121888.1",370,"Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase; Catalyzes the third of the four reactions of the long- chain fatty acids elongation cycle. This endoplasmic reticulum- bound enzymatic process, allows the addition of two carbons to the chain of long- and very long-chain fatty acids/VLCFAs per cycle. This enzyme catalyzes the dehydration of the 3-hydroxyacyl-CoA intermediate into trans-2,3-enoyl-CoA, within each cycle of fatty acid elongation. Thereby, it participates to the production of VLCFAs of different chain lengths that are involved in multiple biological processes as precursor [...] "
"802","","ENSCING00000005452","ENSCINT00000011262","","XP_002121889","7719.XP_002121889.1","XP_002121889.1",115,"Uncharacterized protein LOC100177227"
"803","","ENSCING00000007685","ENSCINT00000015775","","XP_002121904","7719.XP_002121904.3","XP_002121904.3",441,"Muscarinic acetylcholine receptor M3-like; Belongs to the G-protein coupled receptor 1 family"
"804","","ENSCING00000000827","ENSCINT00000001507","","XP_002121910","7719.XP_002121910.1","XP_002121910.1",253,"Protein SPEC3-like"
"805","","ENSCING00000001184","ENSCINT00000002247","","XP_002121914","7719.XP_002121914.1","XP_002121914.1",642,"Receptor-type tyrosine-protein phosphatase epsilon-like"
"806","","ENSCING00000001552","ENSCINT00000003086","","XP_002121917","7719.XP_002121917.3","XP_002121917.3",317,"B(0,+)-type amino acid transporter 1-like"
"807","","ENSCING00000021276","ENSCINT00000033051","","XP_002121929","7719.XP_002121929.1","XP_002121929.1",473,"RNA-binding protein 40-like"
"808","","ENSCING00000005454","ENSCINT00000011264","","XP_002121945","7719.XP_002121945.1","XP_002121945.1",109,"Uncharacterized protein LOC100187462; Derived by automated computational analysis using gene prediction method: Gnomon. Supporting evidence includes similarity to: 4 ESTs, and 100% coverage of the annotated genomic feature by RNAseq alignments, including 2 samples with support for all annotated introns"
"809","","ENSCING00000002033","ENSCINT00000037149","","XP_002121958","7719.XP_002121958.1","XP_002121958.1",605,"Tubulin polyglutamylase TTLL7-like"
"810","","ENSCING00000000553","ENSCINT00000001022","","XP_002121961","7719.XP_002121961.1","XP_002121961.1",369,"TNF receptor-associated factor 3"
"811","","ENSCING00000004461","ENSCINT00000009231","","XP_002121963","7719.XP_002121963.3","XP_002121963.3",1037,"Multidrug resistance protein 1A"
"812","","ENSCING00000001553","ENSCINT00000003095","","XP_002121964","7719.XP_002121964.1","abce1",600,"ATP-binding cassette sub-family E member 1"
"813","","ENSCING00000023618","ENSCINT00000032978","","XP_002121965","7719.XP_002121965.1","XP_002121965.1",393,"Uncharacterized protein LOC100185489"
"814","","ENSCING00000000720","ENSCINT00000001323","","XP_002121967","7719.XP_002121967.1","XP_002121967.1",367,"acyl-CoA-binding domain-containing protein 5"
"815","","ENSCING00000003541","ENSCINT00000007282","","XP_002121974","7719.XP_002121974.2","XP_002121974.2",314,"Uncharacterized protein LOC100181252"
"816","","ENSCING00000013364","ENSCINT00000024819","","XP_002121976","7719.XP_002121976.1","XP_002121976.1",270,"Protein rolling stone-like"
"817","","ENSCING00000001245","ENSCINT00000002424","","XP_002121979","7719.XP_002121979.1","XP_002121979.1",180,"Trafficking protein particle complex subunit; May play a role in vesicular transport from endoplasmic reticulum to Golgi"
"818","","ENSCING00000023761","ENSCINT00000030946","","XP_002121984","7719.XP_002121984.1","XP_002121984.1",1030,"A disintegrin and metalloproteinase with thrombospondin motifs 15"
"819","","ENSCING00000000306","ENSCINT00000000568","","XP_002121990","7719.XP_002121990.1","XP_002121990.1",191,"Thiosulfate sulfurtransferase/rhodanese-like domain-containing protein 3"
"820","","ENSCING00000002676","ENSCINT00000005460","","XP_002121994","7719.XP_002121994.1","pik3r4",1337,"Phosphoinositide 3-kinase regulatory subunit 4"
"821","","ENSCING00000021953","ENSCINT00000032285","","XP_002121995","7719.XP_002121995.1","XP_002121995.1",86,"Probable splicing factor 3B subunit 5"
"822","","ENSCING00000024877","ENSCINT00000032498","","XP_002121997","7719.XP_002121997.1","XP_002121997.1",96,"U6 snRNA-associated Sm-like protein LSm8"
"823","","ENSCING00000008120","ENSCINT00000016590","","XP_002121998","7719.XP_002121998.1","XP_002121998.1",589,"Phosphatidylinositide phosphatase SAC1"
"824","","ENSCING00000009293","ENSCINT00000018880","","XP_002122002","7719.XP_002122002.1","XP_002122002.1",572,"methylcrotonoyl-CoA carboxylase beta chain, mitochondrial"
"825","","ENSCING00000004482","ENSCINT00000009278","","XP_002122025","7719.XP_002122025.1","gas8",416,"Growth arrest-specific protein 8"
"826","","ENSCING00000023869","ENSCINT00000034173","","XP_002122026","7719.XP_002122026.2","XP_002122026.2",531,"Uncharacterized protein LOC100183125"
"827","","ENSCING00000018022","ENSCINT00000032101","","XP_002122041","7719.XP_002122041.1","XP_002122041.1",296,"Uncharacterized protein C8orf74 homolog"
"828","","ENSCING00000005546","ENSCINT00000011489","","XP_002122056","7719.XP_002122056.1","XP_002122056.1",349,"Uncharacterized protein LOC100178431"
"829","","ENSCING00000010452","ENSCINT00000020746","","XP_002122076","7719.XP_002122076.1","XP_002122076.1",257,"Neurofilament medium polypeptide-like"
"830","","ENSCING00000019531","ENSCINT00000037201","","XP_002122089","7719.XP_002122089.1","XP_002122089.1",360,"dnaJ homolog subfamily B member 11-like"
"831","","ENSCING00000015390","ENSCINT00000007931","","XP_002122091","7719.XP_002122091.2","XP_002122091.2",298,"Nitric oxide synthase-interacting protein"
"832","","ENSCING00000000101","ENSCINT00000000157","","XP_002122092","7719.XP_002122092.1","XP_002122092.1",750,"C-Maf-inducing protein-like"
"833","","ENSCING00000012624","ENSCINT00000021258","","XP_002122118","7719.XP_002122118.1","XP_002122118.1",158,"Calmodulin-2/4-like; Derived by automated computational analysis using gene prediction method: Gnomon. Supporting evidence includes similarity to: 3 ESTs, and 77% coverage of the annotated genomic feature by RNAseq alignments, including 4 samples with support for all annotated introns"
"834","","ENSCING00000005389","ENSCINT00000011085","","XP_002122121","7719.XP_002122121.1","XP_002122121.1",422,"Mixed lineage kinase domain-like protein"
"835","","ENSCING00000007389","ENSCINT00000015207","","XP_002122143","7719.XP_002122143.1","XP_002122143.1",1267,"Multidrug resistance protein 1-like"
"836","","ENSCING00000023874","ENSCINT00000037216","","XP_002122157","7719.XP_002122157.1","XP_002122157.1",127,"Biogenesis of lysosome-related organelles complex 1 subunit 1-like"
"837","","ENSCING00000023539","ENSCINT00000034566","","XP_002122160","7719.XP_002122160.1","XP_002122160.1",217,"Ras-related protein Rab-4B"
"838","","ENSCING00000012432","ENSCINT00000023450","","XP_002122168","7719.XP_002122168.1","XP_002122168.1",233,"Vesicle-associated membrane protein-associated protein B-like"
"839","","ENSCING00000016280","ENSCINT00000028537","","XP_002122171","7719.XP_002122171.1","XP_002122171.1",261,"Interleukin-1 receptor-associated kinase 1-binding protein 1-like"
"840","","ENSCING00000002166","ENSCINT00000004431","","XP_002122197","7719.XP_002122197.1","XP_002122197.1",132,"Cytochrome b5-like isoform X1; Derived by automated computational analysis using gene prediction method: Gnomon. Supporting evidence includes similarity to: 1 mRNA, 193 ESTs, 6 Proteins, and 100% coverage of the annotated genomic feature by RNAseq alignments, including 21 samples with support for all annotated introns; Belongs to the cytochrome b5 family"
"841","","ENSCING00000005259","ENSCINT00000010809","","XP_002122208","7719.XP_002122208.1","XP_002122208.1",218,"Uncharacterized protein LOC100180289 isoform X1; Derived by automated computational analysis using gene prediction method: Gnomon. Supporting evidence includes similarity to: 2 ESTs, and 83% coverage of the annotated genomic feature by RNAseq alignments"
"842","","ENSCING00000001970","ENSCINT00000003974","","XP_002122212","7719.XP_002122212.1","XP_002122212.1",193,"40S ribosomal protein S7; Derived by automated computational analysis using gene prediction method: Gnomon. Supporting evidence includes similarity to: 1 mRNA, 694 ESTs, 38 Proteins, and 100% coverage of the annotated genomic feature by RNAseq alignments, including 12 samples with support for all annotated introns; Belongs to the eukaryotic ribosomal protein eS7 family"
"843","","ENSCING00000015621","ENSCINT00000027808","","XP_002122218","7719.XP_002122218.1","XP_002122218.1",413,"Hexosyltransferase; Uncharacterized protein LOC100179189"
"844","","ENSCING00000009121","ENSCINT00000018513","","XP_002122231","7719.XP_002122231.1","XP_002122231.1",265,"Uncharacterized protein LOC100186813"
"845","","ENSCING00000008872","ENSCINT00000018062","","XP_002122246","7719.XP_002122246.1","XP_002122246.1",418,"Protein arginine methyltransferase NDUFAF7; Arginine methyltransferase involved in the assembly or stability of mitochondrial NADH:ubiquinone oxidoreductase complex (complex I)"
"846","","ENSCING00000003628","ENSCINT00000007460","","XP_002122251","7719.XP_002122251.1","XP_002122251.1",275,"Alpha- and gamma-adaptin-binding protein p34; Derived by automated computational analysis using gene prediction method: Gnomon. Supporting evidence includes similarity to: 1 mRNA, 41 ESTs, and 100% coverage of the annotated genomic feature by RNAseq alignments, including 7 samples with support for all annotated introns"
"847","","ENSCING00000004282","ENSCINT00000008862","","XP_002122265","7719.XP_002122265.1","XP_002122265.1",285,"Tropomyosin alpha-3 chain"
"848","","ENSCING00000003579","ENSCINT00000029643","","XP_002122278","7719.XP_002122278.2","XP_002122278.2",179,"COMM domain-containing protein 9; The sequence of the model RefSeq protein was modified relative to its source genomic sequence to represent the inferred CDS: added 50 bases not found in genome assembly"
"849","","ENSCING00000010206","ENSCINT00000020343","","XP_002122279","7719.XP_002122279.1","XP_002122279.1",418,"Caspase recruitment domain-containing protein 11-like isoform X2; Derived by automated computational analysis using gene prediction method: Gnomon. Supporting evidence includes similarity to: 23 ESTs, and 100% coverage of the annotated genomic feature by RNAseq alignments, including 5 samples with support for all annotated introns"
"850","","ENSCING00000012806","ENSCINT00000024003","","XP_002122293","7719.XP_002122293.1","XP_002122293.1",196,"Uncharacterized protein LOC100186365"
"851","","ENSCING00000003340","ENSCINT00000006853","","XP_002122313","7719.XP_002122313.1","XP_002122313.1",217,"Ras-related protein Rab-5B-like"
"852","","ENSCING00000008644","ENSCINT00000017657","","XP_002122335","7719.XP_002122335.1","XP_002122335.1",267,"Lysozyme 3-like"
"853","","ENSCING00000003320","ENSCINT00000006824","","XP_002122352","7719.XP_002122352.1","XP_002122352.1",716,"Uncharacterized protein LOC100177824"
"854","","ENSCING00000005643","ENSCINT00000011693","","XP_002122365","7719.XP_002122365.1","XP_002122365.1",178,"60S ribosomal protein L18a-like; Belongs to the eukaryotic ribosomal protein eL20 family"
"855","","ENSCING00000022054","ENSCINT00000034946","","XP_002122383","7719.XP_002122383.1","XP_002122383.1",624,"Transmembrane protease serine 9; Belongs to the peptidase S1 family"
"856","","ENSCING00000007068","ENSCINT00000014511","","XP_002122384","7719.XP_002122384.1","XP_002122384.1",592,"OTU domain-containing protein 5"
"857","","ENSCING00000012228","ENSCINT00000023177","","XP_002122395","7719.XP_002122395.1","XP_002122395.1",199,"Basic phospholipase A2 acanthin-2-like"
"858","","ENSCING00000005348","ENSCINT00000010990","","XP_002122397","7719.XP_002122397.1","XP_002122397.1",462,"F-box only protein 39-like"
"859","","ENSCING00000023646","ENSCINT00000033089","","XP_002122415","7719.XP_002122415.1","XP_002122415.1",303,"Uncharacterized protein LOC100180046"
"860","","ENSCING00000002223","ENSCINT00000004541","","XP_002122421","7719.XP_002122421.1","XP_002122421.1",177,"Protein SPEC3-like isoform X1"
"861","","ENSCING00000007491","ENSCINT00000015375","","XP_002122423","7719.XP_002122423.1","XP_002122423.1",398,"Isocitrate dehydrogenase [NAD] subunit gamma, mitochondrial-like"
"862","","ENSCING00000002739","ENSCINT00000005592","","XP_002122431","7719.XP_002122431.1","XP_002122431.1",540,"CWF19-like protein 1"
"863","","ENSCING00000013420","ENSCINT00000024898","","XP_002122434","7719.XP_002122434.1","XP_002122434.1",416,"Lysophosphatidic acid phosphatase type 6-like; Belongs to the histidine acid phosphatase family"
"864","","ENSCING00000021531","ENSCINT00000032485","","XP_002122436","7719.XP_002122436.1","XP_002122436.1",331,"Nucleoplasmin-like protein ANO39"
"865","","ENSCING00000003709","ENSCINT00000007655","","XP_002122447","7719.XP_002122447.1","XP_002122447.1",146,"Uncharacterized protein LOC100180855"
"866","","ENSCING00000008897","ENSCINT00000018105","","XP_002122448","7719.XP_002122448.2","XP_002122448.2",1082,"Homeodomain-interacting protein kinase 2"
"867","","ENSCING00000021961","ENSCINT00000036356","","XP_002122459","7719.XP_002122459.1","XP_002122459.1",252,"Uncharacterized protein LOC100177318"
"868","","ENSCING00000021862","ENSCINT00000032442","","XP_002122479","7719.XP_002122479.2","XP_002122479.2",224,"Uncharacterized protein LOC100177647; Derived by automated computational analysis using gene prediction method: Gnomon. Supporting evidence includes similarity to: 2 ESTs, and 48% coverage of the annotated genomic feature by RNAseq alignments"
"869","","ENSCING00000006771","ENSCINT00000013900","","XP_002122488","7719.XP_002122488.1","ap1m1",422,"AP-1 complex subunit mu-1; Belongs to the adaptor complexes medium subunit family"
"870","","ENSCING00000015619","ENSCINT00000027804","","XP_002122494","7719.XP_002122494.1","XP_002122494.1",1051,"BTB/POZ domain-containing protein 7-like"
"871","","ENSCING00000020437","ENSCINT00000035788","","XP_002122530","7719.XP_002122530.1","XP_002122530.1",305,"WD repeat-containing protein 61-like"
"872","","ENSCING00000006285","ENSCINT00000012965","","XP_002122534","7719.XP_002122534.1","XP_002122534.1",236,"Tetraspanin-8-like; Belongs to the tetraspanin (TM4SF) family"
"873","","ENSCING00000002563","ENSCINT00000005229","","XP_002122535","7719.XP_002122535.2","XP_002122535.2",696,"DNA mismatch repair protein Mlh1-like"
"874","","ENSCING00000009876","ENSCINT00000019996","","XP_002122554","7719.XP_002122554.1","LOC778910",1022,"Flocculation protein FLO11"
"875","","ENSCING00000014292","ENSCINT00000026157","","XP_002122557","7719.XP_002122557.1","XP_002122557.1",275,"Uncharacterized protein LOC100177792"
"876","","ENSCING00000003365","ENSCINT00000029309","","XP_002122559","7719.XP_002122559.2","XP_002122559.2",594,"DCC-interacting protein 13-alpha-like; The sequence of the model RefSeq protein was modified relative to its source genomic sequence to represent the inferred CDS: added 935 bases not found in genome assembly"
